Õppeaine kood;Õppeaine nimetus;Maht EAP;Õppeaine hindamisviis
1;õppeaine1;3;arvestus (mitteeristav)
2;õppeaine2;6;hindeline arvestus (eristav hindamine)
3;õppeaine3;3;arvestus (mitteeristav)
4;õppeaine4;2;arvestus (mitteeristav)
5;õppeaine5;2;arvestus (mitteeristav)
6;õppeaine6;3;arvestus (mitteeristav)
7;õppeaine7;3;arvestus (mitteeristav)
8;õppeaine8;6;hindeline arvestus (eristav hindamine)
9;õppeaine9;8;eksam (eristav hindamine)
10;õppeaine10;9;eksam (eristav hindamine)
11;õppeaine11;10;eksam (eristav hindamine)
12;õppeaine12;5;hindeline arvestus (eristav hindamine)
13;õppeaine13;6;hindeline arvestus (eristav hindamine)
14;õppeaine14;6;hindeline arvestus (eristav hindamine)
15;õppeaine15;3;arvestus (mitteeristav)
16;õppeaine16;6;hindeline arvestus (eristav hindamine)
17;õppeaine17;3;arvestus (mitteeristav)
18;õppeaine18;2;arvestus (mitteeristav)
19;õppeaine19;2;arvestus (mitteeristav)
20;õppeaine20;3;arvestus (mitteeristav)
21;õppeaine21;3;arvestus (mitteeristav)
22;õppeaine22;6;hindeline arvestus (eristav hindamine)
23;õppeaine23;8;eksam (eristav hindamine)
24;õppeaine24;9;eksam (eristav hindamine)
25;õppeaine25;5;hindeline arvestus (eristav hindamine)
26;õppeaine26;5;hindeline arvestus (eristav hindamine)
27;õppeaine27;6;hindeline arvestus (eristav hindamine)
28;õppeaine28;6;hindeline arvestus (eristav hindamine)
29;õppeaine29;3;arvestus (mitteeristav)
30;õppeaine30;6;hindeline arvestus (eristav hindamine)
31;õppeaine31;3;arvestus (mitteeristav)
32;õppeaine32;2;arvestus (mitteeristav)
33;õppeaine33;2;arvestus (mitteeristav)
34;õppeaine34;3;arvestus (mitteeristav)
35;õppeaine35;3;arvestus (mitteeristav)
36;õppeaine36;6;hindeline arvestus (eristav hindamine)
37;õppeaine37;8;eksam (eristav hindamine)
38;õppeaine38;9;eksam (eristav hindamine)
39;õppeaine39;5;hindeline arvestus (eristav hindamine)
40;õppeaine40;5;hindeline arvestus (eristav hindamine)
41;õppeaine41;6;hindeline arvestus (eristav hindamine)
42;õppeaine42;6;hindeline arvestus (eristav hindamine)
43;õppeaine43;3;arvestus (mitteeristav)
44;õppeaine44;6;hindeline arvestus (eristav hindamine)
45;õppeaine45;3;arvestus (mitteeristav)
46;õppeaine46;2;arvestus (mitteeristav)
47;õppeaine47;2;arvestus (mitteeristav)
48;õppeaine48;3;arvestus (mitteeristav)
49;õppeaine49;3;arvestus (mitteeristav)
50;õppeaine50;6;hindeline arvestus (eristav hindamine)
51;õppeaine51;8;eksam (eristav hindamine)
52;õppeaine52;9;eksam (eristav hindamine)
53;õppeaine53;5;hindeline arvestus (eristav hindamine)
